"","Zip Code","column_label","City Name","Year","Zip Code Rate","STATE","ZIP_TYPE","RUCA1","RUCA2","rurality","Delayed_Care"
"1",90001,2,"Los Angeles County",2018,920,"CA","Zip Code Area",1,1,"Urban",20.5
"2",90002,2,"Los Angeles County",2018,747,"CA","Zip Code Area",1,1,"Urban",21.5
"3",90003,2,"Los Angeles County",2018,942,"CA","Zip Code Area",1,1,"Urban",20.7
"4",90004,2,"Los Angeles County",2018,1288,"CA","Zip Code Area",1,1,"Urban",19.8
"5",90005,2,"Los Angeles County",2018,1201,"CA","Zip Code Area",1,1,"Urban",16.7
"6",90006,2,"Los Angeles County",2018,902,"CA","Zip Code Area",1,1,"Urban",16.8
"7",90007,2,"Los Angeles County",2018,657,"CA","Zip Code Area",1,1,"Urban",16
"8",90008,2,"Los Angeles County",2018,1731,"CA","Zip Code Area",1,1,"Urban",21.4
"9",90010,2,"Los Angeles County",2018,1373,"CA","Post Office or large volume customer",1,1,"Urban",17
"10",90011,2,"Los Angeles County",2018,723,"CA","Zip Code Area",1,1,"Urban",18.9
"11",90012,2,"Los Angeles County",2018,5817,"CA","Zip Code Area",1,1,"Urban",17.9
"12",90013,2,"Los Angeles County",2018,6804,"CA","Zip Code Area",1,1,"Urban",19.2
"13",90014,2,"Los Angeles County",2018,3975,"CA","Zip Code Area",1,1,"Urban",17.9
"14",90015,2,"Los Angeles County",2018,2369,"CA","Zip Code Area",1,1,"Urban",18
"15",90016,2,"Los Angeles County",2018,1074,"CA","Zip Code Area",1,1,"Urban",21.5
"16",90017,2,"Los Angeles County",2018,1593,"CA","Zip Code Area",1,1,"Urban",15.8
"17",90018,2,"Los Angeles County",2018,1085,"CA","Zip Code Area",1,1,"Urban",20.4
"18",90019,2,"Los Angeles County",2018,1174,"CA","Zip Code Area",1,1,"Urban",21.5
"19",90020,2,"Los Angeles County",2018,946,"CA","Zip Code Area",1,1,"Urban",17.1
"20",90021,2,"Los Angeles County",2018,3945,"CA","Zip Code Area",1,1,"Urban",20.4
"21",90022,2,"Los Angeles County",2018,493,"CA","Zip Code Area",1,1,"Urban",20.7
"22",90023,2,"Los Angeles County",2018,577,"CA","Zip Code Area",1,1,"Urban",20.3
"23",90024,2,"Los Angeles County",2018,200,"CA","Zip Code Area",1,1,"Urban",20.3
"24",90025,2,"Los Angeles County",2018,390,"CA","Zip Code Area",1,1,"Urban",21.7
"25",90026,2,"Los Angeles County",2018,1589,"CA","Zip Code Area",1,1,"Urban",22.3
"26",90027,2,"Los Angeles County",2018,1867,"CA","Zip Code Area",1,1,"Urban",23.5
"27",90028,2,"Los Angeles County",2018,4666,"CA","Zip Code Area",1,1,"Urban",21.4
"28",90029,2,"Los Angeles County",2018,2073,"CA","Zip Code Area",1,1,"Urban",19.7
"29",90031,2,"Los Angeles County",2018,678,"CA","Zip Code Area",1,1,"Urban",20
"30",90032,2,"Los Angeles County",2018,749,"CA","Zip Code Area",1,1,"Urban",20.1
"31",90033,2,"Los Angeles County",2018,1126,"CA","Zip Code Area",1,1,"Urban",19.5
"32",90034,2,"Los Angeles County",2018,498,"CA","Zip Code Area",1,1,"Urban",21.4
"33",90035,2,"Los Angeles County",2018,679,"CA","Zip Code Area",1,1,"Urban",23.3
"34",90036,2,"Los Angeles County",2018,1288,"CA","Zip Code Area",1,1,"Urban",24.3
"35",90037,2,"Los Angeles County",2018,1083,"CA","Zip Code Area",1,1,"Urban",19.1
"36",90038,2,"Los Angeles County",2018,2763,"CA","Zip Code Area",1,1,"Urban",20.5
"37",90039,2,"Los Angeles County",2018,1498,"CA","Zip Code Area",1,1,"Urban",23.3
"38",90040,2,"Los Angeles County",2018,390,"CA","Zip Code Area",1,1,"Urban",20.1
"39",90041,2,"Los Angeles County",2018,526,"CA","Zip Code Area",1,1,"Urban",20.7
"40",90042,2,"Los Angeles County",2018,651,"CA","Zip Code Area",1,1,"Urban",21.5
"41",90043,2,"Los Angeles County",2018,1150,"CA","Zip Code Area",1,1,"Urban",21.2
"42",90044,2,"Los Angeles County",2018,1041,"CA","Zip Code Area",1,1,"Urban",20.7
"43",90045,2,"Los Angeles County",2018,446,"CA","Zip Code Area",1,1,"Urban",21
"44",90046,2,"Los Angeles County",2018,2910,"CA","Zip Code Area",1,1,"Urban",25.4
"45",90047,2,"Los Angeles County",2018,951,"CA","Zip Code Area",1,1,"Urban",21.7
"46",90048,2,"Los Angeles County",2018,1775,"CA","Zip Code Area",1,1,"Urban",26.7
"47",90049,2,"Los Angeles County",2018,172,"CA","Zip Code Area",1,1,"Urban",20.3
"48",90056,2,"Los Angeles County",2018,809,"CA","Zip Code Area",1,1,"Urban",19.9
"49",90057,2,"Los Angeles County",2018,1575,"CA","Zip Code Area",1,1,"Urban",15.3
"50",90058,2,"Los Angeles County",2018,1079,"CA","Zip Code Area",1,1,"Urban",19.6
"51",90059,2,"Los Angeles County",2018,887,"CA","Zip Code Area",1,1,"Urban",21.2
"52",90061,2,"Los Angeles County",2018,794,"CA","Zip Code Area",1,1,"Urban",20.7
"53",90062,2,"Los Angeles County",2018,1087,"CA","Zip Code Area",1,1,"Urban",20.6
"54",90063,2,"Los Angeles County",2018,480,"CA","Zip Code Area",1,1,"Urban",20.5
"55",90064,2,"Los Angeles County",2018,481,"CA","Zip Code Area",1,1,"Urban",20.1
"56",90065,2,"Los Angeles County",2018,892,"CA","Zip Code Area",1,1,"Urban",21
"57",90066,2,"Los Angeles County",2018,366,"CA","Zip Code Area",1,1,"Urban",21.1
"58",90067,2,"Los Angeles County",2018,688,"CA","Zip Code Area",1,1,"Urban",16.4
"59",90068,2,"Los Angeles County",2018,2607,"CA","Zip Code Area",1,1,"Urban",24
"60",90069,2,"Los Angeles County",2018,10438,"CA","Zip Code Area",1,1,"Urban",26.4
"61",90073,2,"Los Angeles County",2018,1115,"CA","Zip Code Area",1,1,"Urban",16.9
"62",90077,2,"Los Angeles County",2018,237,"CA","Zip Code Area",1,1,"Urban",16.9
"63",90094,2,"Los Angeles County",2018,658,"CA","Zip Code Area",1,1,"Urban",23.6
"64",90201,2,"Los Angeles County",2018,416,"CA","Zip Code Area",1,1,"Urban",20.8
"65",90210,2,"Los Angeles County",2018,653,"CA","Zip Code Area",1,1,"Urban",19.7
"66",90211,2,"Los Angeles County",2018,1765,"CA","Zip Code Area",1,1,"Urban",22.6
"67",90212,2,"Los Angeles County",2018,587,"CA","Zip Code Area",1,1,"Urban",22
"68",90220,2,"Los Angeles County",2018,602,"CA","Zip Code Area",1,1,"Urban",21.1
"69",90221,2,"Los Angeles County",2018,430,"CA","Zip Code Area",1,1,"Urban",22.1
"70",90222,2,"Los Angeles County",2018,541,"CA","Zip Code Area",1,1,"Urban",22.2
"71",90230,2,"Los Angeles County",2018,322,"CA","Zip Code Area",1,1,"Urban",19.7
"72",90232,2,"Los Angeles County",2018,432,"CA","Zip Code Area",1,1,"Urban",20.8
"73",90240,2,"Los Angeles County",2018,268,"CA","Zip Code Area",1,1,"Urban",19.1
"74",90241,2,"Los Angeles County",2018,381,"CA","Zip Code Area",1,1,"Urban",19.6
"75",90242,2,"Los Angeles County",2018,306,"CA","Zip Code Area",1,1,"Urban",19.6
"76",90245,2,"Los Angeles County",2018,232,"CA","Zip Code Area",1,1,"Urban",22.7
"77",90247,2,"Los Angeles County",2018,419,"CA","Zip Code Area",1,1,"Urban",19.9
"78",90248,2,"Los Angeles County",2018,413,"CA","Zip Code Area",1,1,"Urban",18.5
"79",90249,2,"Los Angeles County",2018,496,"CA","Zip Code Area",1,1,"Urban",20.5
"80",90250,2,"Los Angeles County",2018,528,"CA","Zip Code Area",1,1,"Urban",21.3
"81",90254,2,"Los Angeles County",2018,140,"CA","Zip Code Area",1,1,"Urban",24.2
"82",90255,2,"Los Angeles County",2018,606,"CA","Zip Code Area",1,1,"Urban",19.7
"83",90260,2,"Los Angeles County",2018,406,"CA","Zip Code Area",1,1,"Urban",20.8
"84",90262,2,"Los Angeles County",2018,443,"CA","Zip Code Area",1,1,"Urban",22.2
"85",90265,2,"Los Angeles County",2018,194,"CA","Zip Code Area",1,1,"Urban",19.9
"86",90266,2,"Los Angeles County",2018,156,"CA","Zip Code Area",1,1,"Urban",21.7
"87",90270,2,"Los Angeles County",2018,450,"CA","Zip Code Area",1,1,"Urban",20.5
"88",90272,2,"Los Angeles County",2018,115,"CA","Zip Code Area",1,1,"Urban",16.9
"89",90274,2,"Los Angeles County",2018,102,"CA","Zip Code Area",1,1,"Urban",17.7
"90",90275,2,"Los Angeles County",2018,92,"CA","Zip Code Area",1,1,"Urban",17.2
"91",90277,2,"Los Angeles County",2018,198,"CA","Zip Code Area",1,1,"Urban",22.7
"92",90278,2,"Los Angeles County",2018,164,"CA","Zip Code Area",1,1,"Urban",21.6
"93",90280,2,"Los Angeles County",2018,366,"CA","Zip Code Area",1,1,"Urban",20.8
"94",90290,2,"Los Angeles County",2018,373,"CA","Zip Code Area",1,1,"Urban",18.2
"95",90291,2,"Los Angeles County",2018,772,"CA","Zip Code Area",1,1,"Urban",23.7
"96",90292,2,"Los Angeles County",2018,478,"CA","Zip Code Area",1,1,"Urban",22.2
"97",90293,2,"Los Angeles County",2018,277,"CA","Zip Code Area",1,1,"Urban",21.5
"98",90301,2,"Los Angeles County",2018,697,"CA","Zip Code Area",1,1,"Urban",21.1
"99",90302,2,"Los Angeles County",2018,858,"CA","Zip Code Area",1,1,"Urban",22.4
"100",90303,2,"Los Angeles County",2018,548,"CA","Zip Code Area",1,1,"Urban",21.7
"101",90304,2,"Los Angeles County",2018,521,"CA","Zip Code Area",1,1,"Urban",21
"102",90305,2,"Los Angeles County",2018,819,"CA","Zip Code Area",1,1,"Urban",22.5
"103",90401,2,"Los Angeles County",2018,1207,"CA","Zip Code Area",1,1,"Urban",22.9
"104",90402,2,"Los Angeles County",2018,271,"CA","Zip Code Area",1,1,"Urban",18.1
"105",90403,2,"Los Angeles County",2018,346,"CA","Zip Code Area",1,1,"Urban",23.4
"106",90404,2,"Los Angeles County",2018,462,"CA","Zip Code Area",1,1,"Urban",20.9
"107",90405,2,"Los Angeles County",2018,593,"CA","Zip Code Area",1,1,"Urban",22.2
"108",90501,2,"Los Angeles County",2018,262,"CA","Zip Code Area",1,1,"Urban",19.8
"109",90502,2,"Los Angeles County",2018,220,"CA","Zip Code Area",1,1,"Urban",18.8
"110",90503,2,"Los Angeles County",2018,178,"CA","Zip Code Area",1,1,"Urban",19.6
"111",90504,2,"Los Angeles County",2018,178,"CA","Zip Code Area",1,1,"Urban",19.7
"112",90505,2,"Los Angeles County",2018,116,"CA","Zip Code Area",1,1,"Urban",19.1
"113",90601,2,"Los Angeles County",2018,370,"CA","Zip Code Area",1,1,"Urban",18.6
"114",90602,2,"Los Angeles County",2018,311,"CA","Zip Code Area",1,1,"Urban",20
"115",90603,2,"Los Angeles County",2018,160,"CA","Zip Code Area",1,1,"Urban",19.6
"116",90604,2,"Los Angeles County",2018,208,"CA","Zip Code Area",1,1,"Urban",19.8
"117",90605,2,"Los Angeles County",2018,249,"CA","Zip Code Area",1,1,"Urban",19.7
"118",90606,2,"Los Angeles County",2018,342,"CA","Zip Code Area",1,1,"Urban",19.3
"119",90620,3,"Orange County",2018,190,"CA","Zip Code Area",1,1,"Urban",16.8
"120",90621,3,"Orange County",2018,244,"CA","Zip Code Area",1,1,"Urban",16.3
"121",90623,3,"Orange County",2018,105,"CA","Zip Code Area",1,1,"Urban",15.5
"122",90630,3,"Orange County",2018,152,"CA","Zip Code Area",1,1,"Urban",16.9
"123",90631,2,"Los Angeles County",2018,20,"CA","Zip Code Area",1,1,"Urban",17.8
"124",90638,2,"Los Angeles County",2018,154,"CA","Zip Code Area",1,1,"Urban",19.2
"125",90640,2,"Los Angeles County",2018,403,"CA","Zip Code Area",1,1,"Urban",19.2
"126",90650,2,"Los Angeles County",2018,318,"CA","Zip Code Area",1,1,"Urban",18.8
"127",90660,2,"Los Angeles County",2018,350,"CA","Zip Code Area",1,1,"Urban",18.9
"128",90670,2,"Los Angeles County",2018,331,"CA","Zip Code Area",1,1,"Urban",19.4
"129",90680,3,"Orange County",2018,394,"CA","Zip Code Area",1,1,"Urban",16.3
